0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_rate_filtered,Depth_acc_filtered,
29,416,39,-0.146933,8.258992,0.000856,0.856,7,-7.384,0.077077202,0.077077202,0.024090396,
30,422,39,-0.152482,8.393211,-0.005549,-5.549,6,-6.405,-0.091705114,-0.091705114,-0.168782316,
31,427,39,-0.156172,8.534952,-0.00369,-3.69,5,1.859,-0.19965396,-0.19965396,-0.107948847,
32,432,38,-0.15652,8.553305,-0.000348,-0.348,5,3.342,-0.204104342,-0.204104342,-0.004450381,
33,437,38,-0.154574,8.503435,0.001946,1.946,5,2.294,-0.139601211,-0.139601211,0.06450313,
34,438,38,-0.150464,8.444948,0.00411,4.11,1,2.164,-0.012113175,-0.012113175,0.127488036,
35,444,38,-0.150775,8.514048,-0.000311,-0.311,6,-4.421,-0.02107978,-0.02107978,-0.008966605,
36,450,38,-0.149581,8.503825,0.001194,1.194,6,1.505,0.015372614,0.015372614,0.036452393,
37,457,37,-0.15055,8.554907,-0.000969,-0.969,7,-2.163,-0.014158565,-0.014158565,-0.029531178,
38,462,37,-0.153096,8.583654,-0.002546,-2.546,5,-1.577,-0.090113808,-0.090113808,-0.075955243,
39,467,37,-0.152419,8.600664,0.000677,0.677,5,3.223,-0.067100394,-0.067100394,0.023013414,
40,472,37,-0.154387,8.598979,-0.001968,-1.968,5,-2.645,-0.124127382,-0.124127382,-0.057026988,
41,477,37,-0.154361,8.553086,2.6E-05,0.026,5,1.994,-0.11962356,-0.11962356,0.004503821,
42,480,36,-0.150021,8.579723,0.00434,4.34,3,4.314,0.014165146,0.014165146,0.133788707,
43,486,36,-0.145704,8.510282,0.004317,4.317,6,-0.023,0.143250192,0.143250192,0.129085046,
44,491,36,-0.143918,8.468868,0.001786,1.786,5,-2.531,0.192532686,0.192532686,0.049282494,
45,496,36,-0.141731,8.511743,0.002187,2.187,5,0.401,0.252366706,0.252366706,0.059834019,
46,502,36,-0.139611,8.452704,0.00212,2.12,6,-0.067,0.308395705,0.308395705,0.056028999,
47,507,35,-0.135731,8.353654,0.00388,3.88,5,1.76,0.415543833,0.415543833,0.107148129,
48,511,35,-0.13065,8.296749,0.005081,5.081,4,1.201,0.555507518,0.555507518,0.139963685,
49,515,35,-0.125347,8.228148,0.005303,5.303,4,0.222,0.697932293,0.697932293,0.142424774,
50,519,35,-0.118117,8.110742,0.00723,7.23,4,1.927,0.893894324,0.893894324,0.195962031,
51,523,35,-0.111886,7.993291,0.006231,6.231,4,-0.999,1.054007494,1.054007494,0.16011317,
52,528,34,-0.105082,7.845776,0.006804,6.804,5,0.573,1.22650727,1.22650727,0.172499775,
53,533,34,-0.09751,7.710477,0.007572,7.572,5,0.768,1.416872051,1.416872051,0.190364782,
54,540,34,-0.092164,7.587149,0.005346,5.346,7,-2.226,1.53474589,1.53474589,0.117873838,
55,545,34,-0.083916,7.468991,0.008248,8.248,5,2.902,1.736143513,1.736143513,0.201397623,
56,549,34,-0.074414,7.390034,0.009502,9.502,4,1.254,1.969119208,1.969119208,0.232975695,
57,554,33,-0.067208,7.221577,0.007206,7.206,5,-2.296,2.126225632,2.126225632,0.157106424,
58,555,33,-0.05641,7.074656,0.010798,10.798,1,3.592,2.386378863,2.386378863,0.260153231,
59,557,33,-0.043542,6.871556,0.012868,12.868,2,2.07,2.700827497,2.700827497,0.314448634,
60,558,33,-0.031125,6.692206,0.012417,12.417,1,-0.451,2.992312672,2.992312672,0.291485175,
61,564,33,-0.027419,6.445274,0.003706,3.706,6,-8.711,3.013723292,3.013723292,0.02141062,
62,558,32,0.001365,6.14212,0.028784,28.784,-6,25.078,3.786831593,3.786831593,0.773108301,
63,562,32,0.020398,5.825973,0.019033,19.033,4,-9.751,4.244216645,4.244216645,0.457385052,
64,561,32,0.039912,5.48487,0.019514,19.514,-1,0.481,4.702310146,4.702310146,0.458093501,
65,553,32,0.063908,5.118732,0.023996,23.996,-8,4.482,5.281120841,5.281120841,0.578810696,
66,561,32,0.089855,4.546213,0.025947,25.947,8,1.951,5.901097216,5.901097216,0.619976375,
67,556,31,0.116877,4.074704,0.027022,27.022,-5,1.075,6.5347243,6.5347243,0.633627084,
68,555,31,0.145275,3.531606,0.028398,28.398,-1,1.376,7.190622571,7.190622571,0.655898271,
69,553,31,0.178681,2.831892,0.033406,33.406,-2,5.008,7.977083894,7.977083894,0.786461323,
70,557,31,0.206582,2.367556,0.027901,27.901,4,-5.505,8.574801377,8.574801377,0.597717483,
71,553,31,0.242112,1.557774,0.03553,35.53,-4,7.629,9.383457335,9.383457335,0.808655959,
72,556,30,0.272277,1.027882,0.030165,30.165,3,-5.365,10.00690362,10.00690362,0.62344628,
73,557,30,0.304282,0.454323,0.032005,32.005,1,1.84,10.66684651,10.66684651,0.659942892,
74,553,30,0.338754,-0.299877,0.034472,34.472,-4,2.467,11.38100111,11.38100111,0.714154605,
75,558,30,0.370522,-0.861075,0.031768,31.768,5,-2.704,11.99261108,11.99261108,0.611609967,
76,557,30,0.40015,-1.415007,0.029628,29.628,-1,-2.14,12.52167275,12.52167275,0.529061668,
77,555,29,0.435661,-2.119464,0.035511,35.511,-2,5.883,13.21135256,13.21135256,0.689679818,
78,558,29,0.465192,-2.616594,0.029531,29.531,3,-5.98,13.70094199,13.70094199,0.489589423,
79,558,29,0.493293,-3.222884,0.028101,28.101,0,-1.43,14.13294373,14.13294373,0.43200174,
80,557,29,0.523733,-3.636461,0.03044,30.44,-1,2.339,14.62215542,14.62215542,0.489211688,
81,561,29,0.551658,-4.102631,0.027925,27.925,4,-2.515,15.02124075,15.02124075,0.399085338,
82,560,28,0.575747,-4.473107,0.024089,24.089,-1,-3.836,15.29327353,15.29327353,0.272032777,
