Time,BE,MM,Depth_Rate,Pitch,mm_rate,be_rate
368.0102098,52.5,177,3.591768237,12.5686401,0,4
370.0104402,52.5,179,4.601991509,13.25027996,0,2
372.01023,52.5,183,0,13.91122409,0,4
374.01297,52.5,184,5.617641284,14.64149052,0,1
376.0107999,52.5,186,-1.023896888,15.41844618,0,2
378.0151898,52.5,188,6.123245429,16.02111463,0,2
380.01102,52.5,192,2.049845453,16.50035875,0,4
382.0112499,52.5,194,3.068005057,16.95321643,0,2
384.0112998,52.5,196,1.534155462,17.36925267,0,2
386.01118,52.5,200,-0.511438489,17.74853069,0,4
388.0109102,52.5,203,0,18.06045793,0,3
390.0111598,52.5,206,3.579318859,18.23321782,0,3
392.0110799,52.5,209,0,18.47682219,0,3
394.0110198,52.5,211,1.534210101,18.71030422,0,2
396.0111099,52.5,214,0,18.82964031,0,3
398.01102,52.5,216,2.557064738,19.19290879,0,2
400.0112799,52.5,217,0.511341419,19.44528416,0,1
402.01104,52.5,219,2.045817171,19.68240681,0,2
404.01103,52.5,220,-0.511410405,20.16200116,0,1
406.0111101,52.5,221,3.579622144,20.42746126,0,1
408.01151,52.5,222,1.533857279,20.72841707,0,1
410.0112801,52.5,224,-1.022903479,20.98982311,0,2
412.0111501,52.5,225,2.557116128,21.21900164,0,1
414.0112599,52.5,226,1.534109513,21.51999675,0,1
416.0114199,52.5,227,0,21.72005708,0,1
418.0116401,52.5,229,1.53399509,21.80292709,0,2
420.0114099,52.5,228,0.511466708,22.01297993,0,-1
422.0112799,52.5,233,-4.091409648,21.98154342,0,5
424.0115899,52.5,236,6.13576432,22.134566,0,3
426.01153,52.5,243,-3.579872783,22.33749476,0,7
428.0114401,52.5,247,2.557094541,22.66372484,0,4
430.01152,52.5,247,0.511357628,23.15550359,0,0
432.01315,52.5,247,4.087812139,23.5231234,0,0
434.0115,52.5,247,4.094521424,24.16670322,0,0
436.0115799,52.5,243,4.602337859,24.7207861,0,-4
438.0153498,52.5,231,1.53130735,25.08998961,0,-12
440.0161999,52.5,224,-1.533541864,24.90968537,0,-7
442.0126999,52.5,219,-1.024578932,24.61646526,0,-5
444.01774,52.5,216,-2.04042979,24.10009731,0,-3
446.0116498,52.5,215,-3.077729763,23.09745683,0,-1
448.0115599,52.5,215,-6.136961331,22.16185278,0,0
450.0137098,52.5,217,-7.662642452,20.9168414,0,2
