0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_acc_filtered,,
112,562,22,1.04439,-10.792464,0.027192,27.192,1,-0.131,16.24770139,0.338483462,,
113,560,22,1.075203,-11.075276,0.030813,30.813,-2,3.621,16.68466035,0.436958958,,
114,561,22,1.103996,-11.329926,0.028793,28.793,1,-2.02,17.04791054,0.36325019,,
115,552,22,1.163169,-11.711391,0.059173,59.173,-9,30.38,18.31166322,1.263752684,,
116,565,22,1.16795,-11.965988,0.004781,4.781,13,-54.392,17.90574333,-0.405919897,,
117,562,21,1.198806,-12.224755,0.030856,30.856,-3,26.075,18.29425103,0.3885077,,
118,561,21,1.228801,-12.491265,0.029995,29.995,-1,-0.861,18.6452735,0.351022469,,
119,572,21,1.261581,-12.836301,0.03278,32.78,11,2.785,19.06931529,0.424041795,,
120,557,21,1.322379,-13.056512,0.060798,60.798,-15,28.018,20.32117583,1.251860541,,
121,570,21,1.326061,-13.253558,0.003682,3.682,13,-57.116,19.82200056,-0.499175275,,
122,567,20,1.354411,-13.432964,0.02835,28.35,-3,24.668,20.07784054,0.255839983,,
123,567,20,1.385483,-13.597588,0.031072,31.072,0,2.722,20.40766532,0.329824784,,
124,577,20,1.413752,-13.762252,0.028269,28.269,10,-2.803,20.64350536,0.23584004,,
125,562,22,1.46965,-13.874808,0.055898,55.898,-15,27.629,21.7011402,1.057634839,,
126,575,22,1.470759,-13.93435,0.001109,1.109,13,-54.789,21.083376,-0.617764206,,
127,574,22,1.497753,-13.987724,0.026994,26.994,-1,25.885,21.26069472,0.17731872,,
128,573,22,1.524756,-13.987864,0.027003,27.003,-1,0.009,21.43296388,0.172269158,,
129,576,22,1.574415,-13.915882,0.049659,49.659,3,22.656,22.27974496,0.846781084,,
130,575,22,1.572349,-13.804955,-0.002066,-2.066,-1,-51.725,21.54937261,-0.730372349,,
131,578,22,1.590774,-13.613194,0.018425,18.425,3,20.491,21.45564143,-0.093731178,,
132,582,22,1.609173,-13.366612,0.018399,18.399,4,-0.026,21.36394219,-0.091699243,,
133,587,23,1.623545,-12.958416,0.014372,14.372,5,-4.027,21.15418392,-0.209758266,,
134,580,23,1.637924,-12.417501,0.014379,14.379,-7,0.007,20.95092841,-0.203255518,,
135,592,23,1.64862,-12.108266,0.010696,10.696,12,-3.683,20.64328055,-0.307647852,,
136,589,23,1.673872,-11.482811,0.025252,25.252,-3,14.556,20.78154214,0.138261583,,
137,597,23,1.663231,-10.917523,-0.010641,-10.641,8,-35.893,19.83886587,-0.942676264,,
138,600,24,1.672731,-10.360763,0.0095,9.5,3,20.141,19.5286999,-0.310165976,,
139,600,24,1.678228,-9.751965,0.005497,5.497,0,-4.003,19.1077489,-0.420950997,,
140,600,24,1.685472,-8.937983,0.007244,7.244,0,1.747,18.75183643,-0.355912467,,
141,589,24,1.707091,-8.319989,0.021619,21.619,-11,14.375,18.83785134,0.086014907,,
142,600,24,1.69619,-7.74626,-0.010901,-10.901,11,-32.52,17.9456858,-0.89216554,,
143,600,25,1.708116,-7.216761,0.011926,11.926,0,22.827,17.76509523,-0.180590574,,
144,600,25,1.720721,-6.723509,0.012605,12.605,0,0.679,17.61029237,-0.154802857,,
145,597,25,1.757783,-6.097474,0.037062,37.062,-3,24.457,18.1938436,0.583551229,,
146,600,25,1.750415,-5.711417,-0.007368,-7.368,3,-44.43,17.42698829,-0.766855308,,
147,598,25,1.771501,-5.401814,0.021086,21.086,-2,28.454,17.53675864,0.109770351,,
148,587,26,1.824617,-5.041553,0.053116,53.116,-11,32.03,18.60413588,1.067377241,,
149,600,26,1.82042,-4.822018,-0.004197,-4.197,13,-57.313,17.92010181,-0.684034076,,
150,587,26,1.851157,-4.65139,0.030737,30.737,-13,34.934,18.30460875,0.384506946,,
151,585,26,1.883802,-4.494678,0.032645,32.645,-2,1.908,18.73482049,0.430211737,,
152,577,26,1.956539,-4.409988,0.072737,72.737,-8,40.092,20.35488587,1.620065385,,
153,578,27,1.955347,-4.34767,-0.001192,-1.192,1,-73.929,19.7084793,-0.646406576,,
154,575,27,1.993487,-4.30274,0.03814,38.14,-3,39.332,20.26142492,0.552945621,,
155,567,27,2.070822,-4.267972,0.077335,77.335,-8,39.195,21.97363217,1.712207252,,
156,580,27,2.07024,-4.237579,-0.000582,-0.582,13,-77.917,21.29696321,-0.676668965,,
157,567,27,2.1084,-4.193666,0.03816,38.16,-13,38.742,21.80285431,0.505891104,,
158,560,28,2.18455,-4.097016,0.07615,76.15,-7,37.99,23.43326868,1.630414371,,
159,572,28,2.182523,-3.991085,-0.002027,-2.027,12,-78.177,22.66946062,-0.76380806,,
160,557,28,2.217877,-3.852898,0.035354,35.354,-15,37.381,23.0499968,0.380536181,,
161,551,28,2.25307,-3.706292,0.035193,35.193,-6,-0.161,23.4142869,0.364290096,,
162,546,28,2.31908,-3.445748,0.06601,66.01,-5,30.817,24.69215829,1.277871393,,
163,545,29,2.314825,-3.22361,-0.004255,-4.255,-1,-70.265,23.82374354,-0.868414749,,
164,540,29,2.344146,-2.979408,0.029321,29.321,-5,33.576,23.98866124,0.164917694,,
165,535,29,2.373188,-2.720722,0.029042,29.042,-5,-0.279,24.1402614,0.151600163,,
166,529,29,2.429359,-2.364466,0.056171,56.171,-6,27.129,25.10118356,0.960922158,,
167,526,29,2.423976,-2.083739,-0.005383,-5.383,-3,-61.554,24.18665805,-0.914525507,,
168,522,30,2.449511,-1.798765,0.025535,25.535,-4,30.918,24.22710831,0.040450258,,
169,515,30,2.50088,-1.400931,0.051369,51.369,-7,25.834,25.04136506,0.814256751,,
170,527,30,2.49566,-1.128847,-0.00522,-5.22,12,-56.589,24.13352411,-0.907840952,,
171,512,29,2.520623,-0.866324,0.024963,24.963,-15,30.183,24.15840838,0.024884277,,
172,505,29,2.572184,-0.530712,0.051561,51.561,-7,26.598,24.98048613,0.822077748,,
173,517,29,2.567681,-0.296044,-0.004503,-4.503,12,-56.064,24.09598155,-0.884504584,,
174,502,29,2.592701,-0.088623,0.02502,25.02,-15,29.523,24.1237021,0.027720554,,
175,495,29,2.648819,0.113681,0.056118,56.118,-7,31.098,25.08353104,0.959828937,,
176,507,29,2.647478,0.183545,-0.001341,-1.341,12,-57.459,24.29079511,-0.792735931,,
177,492,29,2.677311,0.192231,0.029833,29.833,-15,31.174,24.45706125,0.166266147,,
178,485,29,2.711147,0.119392,0.033836,33.836,-7,4.003,24.73842942,0.281368162,,
179,477,29,2.781899,0.005282,0.070752,70.752,-8,36.916,26.11883653,1.380407117,,
180,470,29,2.784921,-0.152245,0.003022,3.022,-7,-67.73,25.42593144,-0.692905096,,
181,462,29,2.825002,-0.364921,0.040081,40.081,-8,37.059,25.8655835,0.439652057,,
182,455,29,2.865692,-0.609323,0.04069,40.69,-7,0.609,26.31031599,0.444732495,,
183,458,29,2.908358,-0.904625,0.042666,42.666,3,1.976,26.80098651,0.49067052,,
184,447,30,2.990581,-1.333219,0.082223,82.223,-11,39.557,28.46364692,1.662660405,,
185,450,30,2.996431,-1.638229,0.00585,5.85,3,-76.373,27.78523751,-0.678409407,,
186,440,30,3.038624,-1.961125,0.042193,42.193,-10,36.343,28.21747038,0.432232875,,
187,432,30,3.077345,-2.207285,0.038721,38.721,-8,-3.472,28.53257627,0.315105889,,
188,426,30,3.147684,-2.485779,0.070339,70.339,-6,31.618,29.78676898,1.254192712,,
189,420,31,3.150399,-2.627378,0.002715,2.715,-6,-67.624,28.97461591,-0.812153069,,
190,414,31,3.181118,-2.717094,0.030719,30.719,-6,28.004,29.02694744,0.052331523,,
191,407,31,3.233198,-2.721269,0.05208,52.08,-7,21.361,29.71853901,0.691591577,,
192,420,31,3.253833,-2.650021,0.020635,20.635,13,-31.445,29.44603284,-0.27250617,,
193,410,31,3.251339,-2.519935,-0.002494,-2.494,-10,-23.129,28.48783186,-0.958200985,,
194,412,32,3.265269,-2.307623,0.01393,13.93,2,16.424,28.0510969,-0.436734956,,
195,422,32,3.276435,-2.055529,0.011166,11.166,10,-2.764,27.54454399,-0.506552907,,
