0,BE,MM,Depth,Pitch
540,498,53,0.437000,-3.492010
541,508,54,0.437000,-4.287840
542,498,55,0.464000,-4.877412
543,507,56,0.491000,-5.429140
544,517,57,0.491000,-5.827312
545,507,58,0.515000,-6.163535
546,517,59,0.515000,-6.338532
547,507,60,0.533000,-6.395885
548,517,61,0.547000,-6.422711
549,527,62,0.547000,-6.408901
550,517,63,0.559000,-6.333300
551,527,64,0.568000,-6.326112
552,537,65,0.568000,-6.344234
553,527,66,0.577000,-6.392216
554,537,67,0.577000,-6.495900
555,527,68,0.586000,-6.673203
556,537,69,0.595000,-6.854894
557,547,70,0.595000,-7.068017
558,537,71,0.605000,-7.339193
559,547,72,0.605000,-7.592387
560,537,73,0.615000,-7.693517
561,547,74,0.624000,-8.065107
562,557,75,0.624000,-8.221524
563,547,76,0.629000,-8.273057
564,557,77,0.630000,-8.342577
565,567,78,0.630000,-8.277857
566,577,79,0.630000,-8.093080
567,587,80,0.630000,-7.938813
568,597,80,0.624000,-7.813736
569,607,80,0.615000,-7.293651
570,597,80,0.615000,-7.151352
571,607,80,0.605000,-6.716089
572,597,80,0.605000,-6.570493
573,607,80,0.591000,-5.969313
574,597,80,0.579000,-5.610546
575,587,80,0.579000,-5.267956
576,597,80,0.567000,-4.811448
577,587,80,0.567000,-4.506132
578,597,80,0.557000,-4.220627
579,607,80,0.545000,-3.843148
580,597,80,0.545000,-3.569877
581,607,80,0.537000,-3.291837
582,597,80,0.537000,-3.018520
583,607,80,0.526000,-2.770424
584,597,80,0.519000,-2.548753
585,587,80,0.519000,-2.346941
586,597,80,0.514000,-2.217759
587,587,80,0.514000,-1.975788
588,597,80,0.509000,-1.827358
589,607,80,0.504000,-1.673737
590,597,80,0.504000,-1.607630
591,607,80,0.501000,-1.512464
592,617,80,0.498000,-1.423157
593,607,80,0.498000,-1.364200
594,617,80,0.496000,-1.316037
595,607,80,0.496000,-1.217134
596,617,80,0.494000,-1.157687
597,627,80,0.490000,-1.096383
598,617,80,0.490000,-0.991384
599,627,80,0.489000,-0.909885
600,627,80,0.489000,-0.812154
601,637,80,0.488000,-0.682768
602,647,80,0.485000,-0.565863
603,637,80,0.485000,-0.431601
604,647,80,0.483000,-0.111438
605,657,80,0.479000,0.118756
606,647,80,0.479000,0.238465
607,657,80,0.476000,0.676505
608,647,80,0.476000,0.857649
609,657,80,0.472000,1.355150
610,660,80,0.469000,1.715396
611,650,80,0.469000,1.922930
612,660,79,0.465000,2.369711
613,650,78,0.465000,2.788656
614,660,77,0.461000,3.258833
615,670,76,0.456000,3.767105
616,660,75,0.456000,4.251273
617,670,74,0.454000,4.749281
618,660,73,0.454000,5.308931
619,670,72,0.454000,5.878770
620,680,71,0.453000,6.418396
621,680,70,0.453000,7.088999
622,690,69,0.453000,7.645564
623,680,70,0.453000,8.235549
624,670,71,0.454000,8.842289
625,660,72,0.458000,9.412842
626,670,73,0.458000,10.193163
627,660,74,0.463000,10.859361
628,670,75,0.467000,11.497777
629,680,76,0.467000,12.134889
630,670,77,0.474000,12.815887
631,660,77,0.481000,13.604057
632,670,77,0.481000,13.987383
633,670,77,0.481000,14.645604
634,660,77,0.488000,15.291849
635,650,77,0.497000,16.056007
636,660,77,0.497000,16.688240
637,650,76,0.507000,17.473761
638,640,75,0.519000,18.114042
639,650,74,0.519000,18.773504
640,640,73,0.531000,19.474037
641,650,72,0.531000,20.118315
642,640,71,0.543000,20.858522
643,630,70,0.557000,21.179615
644,640,69,0.557000,22.164465
645,630,68,0.574000,22.766796
646,640,67,0.574000,23.438812
647,630,66,0.587000,23.755375
648,620,65,0.605000,24.807705
649,630,64,0.605000,25.334599
650,620,63,0.623000,25.987795
651,613,62,0.641000,26.524687
652,623,61,0.641000,27.024115
653,613,60,0.664000,27.276772
654,623,59,0.664000,27.917061
655,613,58,0.688000,28.308338
656,603,57,0.714000,28.553566
657,613,56,0.714000,28.847813
658,603,55,0.743000,29.068449
659,613,54,0.743000,29.115751
660,603,53,0.774000,29.280184
661,593,52,0.808000,29.339560
662,603,51,0.808000,29.258833
663,593,50,0.845000,29.223480
664,603,49,0.845000,29.106268
665,593,48,0.882000,28.810694
666,583,47,0.924000,28.571741
667,593,46,0.924000,28.318045
668,583,45,0.965000,27.946856
669,573,44,1.009000,27.605587
670,583,43,1.009000,27.263420
671,573,42,1.053000,27.086517
672,583,41,1.053000,26.638802
673,573,40,1.097000,26.120680
674,583,39,1.097000,25.706499
675,573,38,1.141000,25.486534
676,583,37,1.182000,24.762058
677,593,36,1.182000,24.375452
678,583,35,1.222000,23.958746
679,593,34,1.260000,23.547894
680,603,33,1.260000,23.275015
681,593,32,1.297000,22.911331
682,603,31,1.297000,22.665956
683,593,30,1.332000,22.473866
684,603,29,1.363000,22.286861
685,613,28,1.363000,22.116629
686,603,27,1.392000,22.064615
687,613,26,1.392000,22.052301
688,603,25,1.421000,21.993649
689,613,24,1.448000,22.027849
690,623,23,1.448000,22.110977
691,613,22,1.473000,22.122614
