Date Time Depth Depth_Rate BE Pitch MM
2023-06-12 16:33:11 3.110611 -0.00277899999999986 322 6.443774 36
2023-06-12 16:33:12 3.114788 0.00417699999999988 315 6.224802 36
2023-06-12 16:33:13 3.113136 -0.00165199999999999 307 5.944494 36
2023-06-12 16:33:14 3.109069 -0.00406700000000004 300 5.581352 37
2023-06-12 16:33:15 3.10547 -0.00359899999999991 292 5.298605 37
2023-06-12 16:33:16 3.110678 0.0052080000000001 285 5.026091 37
2023-06-12 16:33:17 3.107075 -0.00360300000000002 277 4.796105 37
2023-06-12 16:33:18 3.090226 -0.0168490000000001 277 4.526815 37
2023-06-12 16:33:19 3.093019 0.00279300000000005 270 4.380787 38
2023-06-12 16:33:20 3.079717 -0.0133019999999999 272 4.292051 38
2023-06-12 16:33:21 3.041197 -0.0385200000000001 282 4.266971 38
2023-06-12 16:33:22 3.016155 -0.025042 277 4.321455 38
2023-06-12 16:33:23 3.013425 -0.00273000000000012 276 4.464132 38
2023-06-12 16:33:24 2.980513 -0.0329119999999996 284 4.720931 39
2023-06-12 16:33:25 2.911709 -0.0688040000000001 290 5.129137 39
2023-06-12 16:33:26 2.867292 -0.0444170000000002 297 5.517327 39
2023-06-12 16:33:27 2.858889 -0.00840299999999994 298 5.957434 39
2023-06-12 16:33:28 2.770283 -0.088606 305 6.618348 39
2023-06-12 16:33:29 2.719328 -0.0509550000000001 301 7.193414 40
2023-06-12 16:33:30 2.70863 -0.0106980000000001 292 7.755725 40
2023-06-12 16:33:31 2.656529 -0.052101 305 8.287293 40
2023-06-12 16:33:32 2.561043 -0.0954859999999997 312 9.050931 40
2023-06-12 16:33:33 2.55143 -0.00961300000000032 297 9.558608 40
2023-06-12 16:33:34 2.458227 -0.0932029999999999 310 10.310002 41
2023-06-12 16:33:35 2.407401 -0.0508259999999998 317 10.830914 41
2023-06-12 16:33:36 2.398035 -0.00936599999999999 302 11.328281 41
2023-06-12 16:33:37 2.352502 -0.0455330000000003 315 11.782128 41
2023-06-12 16:33:38 2.267506 -0.0849959999999999 314 12.36816 41
2023-06-12 16:33:39 2.222824 -0.0446819999999999 315 12.778337 42
2023-06-12 16:33:40 2.183702 -0.0391220000000003 322 13.159162 42
2023-06-12 16:33:41 2.177514 -0.00618799999999986 307 13.490562 42
2023-06-12 16:33:42 2.137468 -0.0400459999999998 300 13.814788 42
2023-06-12 16:33:43 2.067019 -0.070449 312 14.161109 41
2023-06-12 16:33:44 2.029874 -0.0371450000000002 309 14.384016 41
2023-06-12 16:33:45 2.0266 -0.00327399999999978 308 14.560209 41
2023-06-12 16:33:46 1.994093 -0.0325070000000003 307 14.69525 41
2023-06-12 16:33:47 1.963682 -0.030411 297 14.771279 41
2023-06-12 16:33:48 1.905909 -0.0577729999999999 310 14.759059 41
2023-06-12 16:33:49 1.880534 -0.0253750000000001 317 14.671487 41
2023-06-12 16:33:50 1.883302 0.0027680000000001 302 14.522446 41
2023-06-12 16:33:51 1.837977 -0.0453250000000001 315 14.270882 41
2023-06-12 16:33:52 1.818961 -0.0190159999999999 302 14.056764 41
2023-06-12 16:33:53 1.79924 -0.0197210000000001 305 13.827015 42
2023-06-12 16:33:54 1.804071 0.00483100000000003 304 13.567924 42
2023-06-12 16:33:55 1.759615 -0.0444560000000001 309 13.270899 42
2023-06-12 16:33:56 1.73976 -0.019855 308 13.049084 42
2023-06-12 16:33:57 1.742765 0.00300499999999992 295 12.888336 42
2023-06-12 16:33:58 1.690424 -0.052341 307 12.746274 43
2023-06-12 16:33:59 1.662114 -0.0283099999999998 302 12.70939 43
2023-06-12 16:34:00 1.628484 -0.03363 312 12.743047 43
2023-06-12 16:34:01 1.62658 -0.00190400000000013 316 12.844819 43
2023-06-12 16:34:02 1.589261 -0.0373189999999999 314 13.10989 43
2023-06-12 16:34:03 1.50236 -0.0869010000000001 322 13.391631 44
2023-06-12 16:34:04 1.454709 -0.0476509999999999 327 13.748221 44
2023-06-12 16:34:05 1.447466 -0.00724300000000011 332 14.137101 43
2023-06-12 16:34:06 1.351679 -0.0957869999999998 337 14.717567 43
2023-06-12 16:34:07 1.298445 -0.053234 335 15.161629 43
2023-06-12 16:34:08 1.246089 -0.0523560000000001 342 15.667387 43
2023-06-12 16:34:09 1.238587 -0.0075019999999999 347 16.073826 42
2023-06-12 16:34:10 1.144819 -0.0937680000000001 352 16.549917 42
2023-06-12 16:34:11 1.098247 -0.0465720000000001 357 16.853052 42
2023-06-12 16:34:12 1.093754 -0.00449300000000008 344 17.09786 42
2023-06-12 16:34:13 1.01471 -0.0790439999999999 357 17.318487 42
2023-06-12 16:34:14 1.013691 -0.0010190000000001 342 17.396257 41
2023-06-12 16:34:15 0.943373 -0.0703179999999999 355 17.391457 41
2023-06-12 16:34:16 0.914109 -0.0292640000000001 362 17.29668 41
2023-06-12 16:34:17 0.917253 0.00314400000000004 347 17.125168 41
2023-06-12 16:34:18 0.865754 -0.051499 360 16.771044 41
2023-06-12 16:34:19 0.848055 -0.017699 347 16.428394 40
2023-06-12 16:34:20 0.831736 -0.016319 351 16.011515 40
2023-06-12 16:34:21 0.817319 -0.014417 360 15.546723 41
2023-06-12 16:34:22 0.826422 0.00910299999999997 347 15.054935 41
2023-06-12 16:34:23 0.798509 -0.027913 360 14.349843 41
2023-06-12 16:34:24 0.78697 -0.0115390000000001 359 13.841503 42
2023-06-12 16:34:25 0.794991 0.00802100000000006 349 13.411397 42
2023-06-12 16:34:26 0.759242 -0.035749 362 12.916325 42
2023-06-12 16:34:27 0.739879 -0.019363 358 12.615113 42
2023-06-12 16:34:28 0.719005 -0.0208739999999999 367 12.394871 42
2023-06-12 16:34:29 0.690027 -0.0289780000000001 372 12.28701 43
2023-06-12 16:34:30 0.657295 -0.032732 375 12.326037 43
2023-06-12 16:34:31 0.622263 -0.035032 382 12.487821 43
2023-06-12 16:34:32 0.578701 -0.043562 387 12.731433 43
2023-06-12 16:34:33 0.571189 -0.00751200000000007 384 13.133095 43
2023-06-12 16:34:34 0.52355 -0.047639 392 13.595829 44
2023-06-12 16:34:35 0.423015 -0.100535 397 14.376436 43
2023-06-12 16:34:36 0.366272 -0.056743 402 15.009074 43
2023-06-12 16:34:37 0.307688 -0.058584 407 15.634966 43
2023-06-12 16:34:38 0.296218 -0.01147 412 16.25663 42
2023-06-12 16:34:39 0.189115 -0.107103 417 17.078182 42
2023-06-12 16:34:40 0.135365 -0.05375 422 17.610445 42
2023-06-12 16:34:41 0.08129 -0.054075 427 18.107317 42
2023-06-12 16:34:42 0.032311 -0.048979 432 18.600302 42
2023-06-12 16:34:43 -0.009599 -0.04191 429 18.87047 41
2023-06-12 16:34:44 -0.052338 -0.042739 437 19.021383 41
2023-06-12 16:34:45 -0.080186 -0.027848 442 19.068102 41
2023-06-12 16:34:46 -0.078674 0.001512 435 18.946512 41
2023-06-12 16:34:47 -0.126186 -0.047512 447 18.737635 41
2023-06-12 16:34:48 -0.141444 -0.015258 449 18.421995 40
2023-06-12 16:34:49 -0.152604 -0.01116 455 17.99189 40
2023-06-12 16:34:50 -0.156079 -0.00347500000000001 462 17.361521 40
2023-06-12 16:34:51 -0.158294 -0.00221499999999999 450 16.828047 40
2023-06-12 16:34:52 -0.161315 -0.003021 459 16.231243 40
2023-06-12 16:34:53 -0.151096 0.010219 456 15.447634 40
2023-06-12 16:34:54 -0.152747 -0.00165099999999999 465 14.902203 40
2023-06-12 16:34:55 -0.149498 0.003249 470 14.350229 40
2023-06-12 16:34:56 -0.142907 0.00659099999999999 472 13.67394 41
2023-06-12 16:34:57 -0.141848 0.001059 477 13.242117 41
2023-06-12 16:34:58 -0.141223 0.000625000000000014 481 12.887734 41
2023-06-12 16:34:59 -0.136058 0.00516499999999998 486 12.611748 41
2023-06-12 16:35:00 -0.147602 -0.011544 492 12.427266 41
2023-06-12 16:35:01 -0.159269 -0.011667 497 12.462847 42
2023-06-12 16:35:02 -0.171982 -0.012713 502 12.607709 42
2023-06-12 16:35:03 -0.192958 -0.020976 507 12.980491 42
2023-06-12 16:35:04 -0.216329 -0.023371 512 13.37498 40
2023-06-12 16:35:05 -0.238979 -0.02265 517 13.892463 40
2023-06-12 16:35:06 -0.269477 -0.030498 522 14.672054 40
2023-06-12 16:35:07 -0.28999 -0.020513 527 15.131133 40
2023-06-12 16:35:08 -0.295229 -0.00523899999999999 532 15.252041 40
2023-06-12 16:35:09 -0.283017 0.012212 526 15.024674 40
2023-06-12 16:35:10 -0.266162 0.016855 517 14.762865 40
2023-06-12 16:35:11 -0.246945 0.019217 510 14.589547 40
2023-06-12 16:35:12 -0.226833 0.020112 505 14.475869 39
2023-06-12 16:35:13 -0.210555 0.016278 509 14.407087 39
2023-06-12 16:35:14 -0.194272 0.016283 512 14.338061 39
2023-06-12 16:35:15 -0.176765 0.017507 512 14.257054 39
2023-06-12 16:35:16 -0.159252 0.017513 513 14.229435 39
2023-06-12 16:35:17 -0.140643 0.018609 513 14.196697 38
