Time,BE,MM,depth_rate,Pitch,be_rate,mm_rate,pitch
288.0073999,52.5,0,-9.723306332,-1.746224204,0,0,-1.746224204
290.0074102,52.5,0,-13.29613375,-2.288695425,0,0,-2.288695425
292.0232901,52.5,0,-13.69882653,-2.869145316,0,0,-2.869145316
294.0074598,52.5,0,-24.22719297,-3.168081995,0,0,-3.168081995
296.0074598,52.5,0,-25.5696103,-2.972746707,0,0,-2.972746707
298.0075098,52.5,0,-30.17140123,-2.528361478,0,0,-2.528361478
300.0075799,52.5,0,-34.77345639,-2.019193,0,0,-2.019193
302.0101399,52.5,0,-37.28390242,-1.791753848,0,0,-1.791753848
304.0077399,52.5,0,-34.81645571,-1.94977034,0,0,-1.94977034
306.0079199,52.5,0,-33.23750627,-1.914007269,0,0,-1.914007269
308.0084897,52.5,0,-40.38849061,-1.722442662,0,0,-1.722442662
310.0077599,52.5,0,-34.78735594,2.816083918,0,0,2.816083918
312.0078298,52.5,-12,-26.08011426,5.687033105,0,-12,5.687033105
314.0087099,52.5,-5,-10.2233303,5.091526753,0,7,5.091526753
316.01043,52.5,14,3.576659714,4.837401971,0,19,4.837401971
318.0095099,52.5,19,8.697666471,4.930763772,0,5,4.930763772
320.0097001,52.5,37,15.3402998,3.905999338,0,18,3.905999338
322.0096901,52.5,54,8.693738467,3.220339798,0,17,3.220339798
324.01203,52.5,59,-2.55399169,3.767418823,0,5,3.767418823
326.0097298,52.5,59,-9.727638731,5.066009037,0,0,5.066009037
328.01249,52.5,58,-14.80994154,6.150390265,0,-1,6.150390265
330.0102298,52.5,58,-23.03867437,7.037588128,0,0,7.037588128
332.0096998,52.5,54,-13.29974063,8.48896773,0,-4,8.48896773
334.0098099,52.5,62,-4.602268349,8.615731149,0,8,8.615731149
336.0099999,52.5,74,7.158821398,8.277601118,0,12,8.277601118
338.0099497,52.5,80,-0.511420683,8.647179623,0,6,8.647179623
340.0097201,52.5,81,1.534369924,9.439833035,0,1,9.439833035
342.0101901,52.5,89,-7.157819169,9.521196223,0,8,9.521196223
344.0101,52.5,103,-2.045663973,9.040704958,0,14,9.040704958
346.01007,52.5,110,0.511415511,9.244212869,0,7,9.244212869
348.0128399,52.5,115,2.553413478,9.729781538,0,5,9.729781538
350.0101901,52.5,123,0.512056488,10.07634942,0,8,10.07634942
352.01026,52.5,127,1.022750163,10.34689035,0,4,10.34689035
354.0106499,52.5,133,0,10.60968704,0,6,10.60968704
356.0109,52.5,141,-3.067944239,10.69037967,0,8,10.69037967
358.01027,52.5,148,6.650188325,10.83632174,0,7,10.83632174
360.0103501,52.5,153,-1.022744927,11.13779093,0,5,11.13779093
362.01234,52.5,162,-3.065307896,11.36995491,0,9,11.36995491
364.0103099,52.5,166,1.535722772,11.60384012,0,4,11.60384012
366.0169098,52.5,173,0.509725773,11.88485021,0,7,11.88485021
368.0102098,52.5,177,3.591768237,12.5686401,0,4,12.5686401
370.0104402,52.5,179,4.601991509,13.25027996,0,2,13.25027996
372.01023,52.5,183,0,13.91122409,0,4,13.91122409
374.01297,52.5,184,5.617641284,14.64149052,0,1,14.64149052
376.0107999,52.5,186,-1.023896888,15.41844618,0,2,15.41844618
378.0151898,52.5,188,6.123245429,16.02111463,0,2,16.02111463
380.01102,52.5,192,2.049845453,16.50035875,0,4,16.50035875
382.0112499,52.5,194,3.068005057,16.95321643,0,2,16.95321643
384.0112998,52.5,196,1.534155462,17.36925267,0,2,17.36925267
386.01118,52.5,200,-0.511438489,17.74853069,0,4,17.74853069
388.0109102,52.5,203,0,18.06045793,0,3,18.06045793
390.0111598,52.5,206,3.579318859,18.23321782,0,3,18.23321782
392.0110799,52.5,209,0,18.47682219,0,3,18.47682219
394.0110198,52.5,211,1.534210101,18.71030422,0,2,18.71030422
396.0111099,52.5,214,0,18.82964031,0,3,18.82964031
398.01102,52.5,216,2.557064738,19.19290879,0,2,19.19290879
400.0112799,52.5,217,0.511341419,19.44528416,0,1,19.44528416
402.01104,52.5,219,2.045817171,19.68240681,0,2,19.68240681
404.01103,52.5,220,-0.511410405,20.16200116,0,1,20.16200116
406.0111101,52.5,221,3.579622144,20.42746126,0,1,20.42746126
408.01151,52.5,222,1.533857279,20.72841707,0,1,20.72841707
410.0112801,52.5,224,-1.022903479,20.98982311,0,2,20.98982311
412.0111501,52.5,225,2.557116128,21.21900164,0,1,21.21900164
414.0112599,52.5,226,1.534109513,21.51999675,0,1,21.51999675
416.0114199,52.5,227,0,21.72005708,0,1,21.72005708
418.0116401,52.5,229,1.53399509,21.80292709,0,2,21.80292709
420.0114099,52.5,228,0.511466708,22.01297993,0,-1,22.01297993
422.0112799,52.5,233,-4.091409648,21.98154342,0,5,21.98154342
424.0115899,52.5,236,6.13576432,22.134566,0,3,22.134566
426.01153,52.5,243,-3.579872783,22.33749476,0,7,22.33749476
428.0114401,52.5,247,2.557094541,22.66372484,0,4,22.66372484
430.01152,52.5,247,0.511357628,23.15550359,0,0,23.15550359
432.01315,52.5,247,4.087812139,23.5231234,0,0,23.5231234
434.0115,52.5,247,4.094521424,24.16670322,0,0,24.16670322
436.0115799,52.5,243,4.602337859,24.7207861,0,-4,24.7207861
438.0153498,52.5,231,1.53130735,25.08998961,0,-12,25.08998961
440.0161999,52.5,224,-1.533541864,24.90968537,0,-7,24.90968537
442.0126999,52.5,219,-1.024578932,24.61646526,0,-5,24.61646526
444.01774,52.5,216,-2.04042979,24.10009731,0,-3,24.10009731
446.0116498,52.5,215,-3.077729763,23.09745683,0,-1,23.09745683
448.0115599,52.5,215,-6.136961331,22.16185278,0,0,22.16185278
450.0137098,52.5,217,-7.662642452,20.9168414,0,2,20.9168414
452.0117499,52.5,219,-6.142735096,20.0393012,0,2,20.0393012
454.0118001,52.5,216,-3.57964595,19.24146873,0,-3,19.24146873
456.0139699,52.5,216,-3.575885979,18.32501429,0,0,18.32501429
458.01217,52.5,209,-1.023707206,18.0895898,0,-7,18.0895898
460.0119299,52.5,205,0,17.68155064,0,-4,17.68155064
462.0118799,52.5,197,0,17.72134471,0,-8,17.72134471
464.0117299,52.5,190,0,17.52127925,0,-7,17.52127925
466.01169,52.5,181,2.557030715,17.48445782,0,-9,17.48445782
468.01635,52.5,175,-3.571444151,17.30264163,0,-6,17.30264163
470.0120399,52.5,169,-2.049989548,16.97245145,0,-6,16.97245145
472.012,52.5,167,1.022806325,16.28695058,0,-2,16.28695058
474.0134001,52.5,164,-5.621372419,15.53182674,0,-3,15.53182674
476.01741,52.5,163,-1.020739328,14.8081565,0,-1,14.8081565
478.0120499,52.5,162,-5.640424258,13.86495514,0,-1,13.86495514
480.0125798,52.5,161,-2.045029953,13.03239746,0,-1,13.03239746
482.0124201,52.5,159,-4.091470402,12.33573979,0,-2,12.33573979
484.0125599,52.5,156,-4.090857706,11.84643055,0,-3,11.84643055
486.01262,52.5,151,1.534147607,11.32803387,0,-5,11.32803387
488.01266,52.5,143,0.511367839,11.29323349,0,-8,11.29323349
490.0126797,52.5,137,-1.534148831,11.06129843,0,-6,11.06129843
492.01297,52.5,128,2.045274928,11.17562289,0,-9,11.17562289
494.0181299,52.5,121,-4.08061575,11.10193304,0,-7,11.10193304
496.01294,52.5,115,4.101787517,10.75511487,0,-6,10.75511487
498.0144599,52.5,111,-4.088036962,9.813111964,0,-4,9.813111964
500.01474,52.5,107,0.511306451,9.127372769,0,-4,9.127372769
502.0146601,52.5,104,-3.068480249,8.984678395,0,-3,8.984678395
504.0145298,52.5,98,-2.045675282,8.868509702,0,-6,8.868509702
506.0168,52.5,90,7.151353981,8.975971466,0,-8,8.975971466
508.0148001,52.5,83,-6.142828045,8.946157944,0,-7,8.946157944
510.0148198,52.5,75,4.091073484,9.209084473,0,-8,9.209084473
512.0152799,52.5,68,-2.045101398,8.886571902,0,-7,8.886571902
514.0159898,52.5,62,0.511226395,8.77706175,0,-6,8.77706175
516.01664,52.5,55,0.511211845,8.555037201,0,-7,8.555037201
518.0155597,52.5,46,0.511684244,8.758950006,0,-9,8.758950006
520.01536,52.5,39,3.580093192,8.393607512,0,-7,8.393607512
522.01506,52.5,36,4.091757437,7.8987707,0,-3,7.8987707
524.0152499,52.5,34,8.181510169,7.230412903,0,-2,7.230412903
526.0202798,52.5,32,6.631415823,6.518306484,0,-2,6.518306484
528.0152899,52.5,32,13.32944357,5.68719455,0,0,5.68719455
530.01534,52.5,32,5.625196237,4.908547565,0,0,4.908547565
532.01539,52.5,27,11.25033431,4.505725471,0,-5,4.505725471
534.0156099,52.5,23,4.090693828,3.98707722,0,-4,3.98707722
536.0174799,52.5,17,3.576391687,3.654056199,0,-6,3.654056199
538.0153597,52.5,11,0,3.524766037,0,-6,3.524766037
540.0169897,52.5,6,1.021953035,3.243424734,0,-5,3.243424734
542.0155497,52.5,1,5.6293607,2.919234288,0,-5,2.919234288
544.0193398,52.5,-4,5.104256739,2.559139826,0,-5,2.559139826
546.0266299,52.5,-7,6.623948798,2.020729931,0,-3,2.020729931
548.0155802,52.5,-10,7.199276337,1.350189316,0,-3,1.350189316
550.01553,52.5,-14,7.671071816,0.733949072,0,-4,0.733949072
552.0194798,52.5,-15,8.166159769,0.024631976,0,-1,0.024631976
554.01566,52.5,-17,6.660814872,-0.547518194,0,-2,-0.547518194
556.0221798,52.5,-20,7.645954287,-1.061579355,0,-3,-1.061579355
558.0157399,52.5,-24,3.591329524,-1.524076756,0,-4,-1.524076756
560.0159199,52.5,-31,3.579413666,-1.645905209,0,-7,-1.645905209
562.0156797,52.5,-37,7.160361016,-2.188625111,0,-6,-2.188625111
564.0304,52.5,-40,3.045939204,-2.632718201,0,-3,-2.632718201
