Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,depth_rate,be_rate,mm_rate,pitch
49,0.065699995,-0.0011,0.051200002,3.910000086,-8.520000458,257,2.998946447,0.074711107,3.088349275,-11.24645029,1.819898036,-0.017995065,-6.88678216,107.6106942,-1,4.777531326,-2.31588188,2.666922405,21.07308006,3400,61.60000229,35.20000076,-1.50390625,0.065709202,173.8583984,174,0,0,0,447.5,-0.080754258,74.711107,-17.5,-8,-11.24645029
50,0.058499999,-0.0004,0.050799999,4.010000229,-7.880000114,258.7000122,3.063381929,0.068708375,3.217776964,-10.54089777,1.421144102,0.033222995,-6.886790597,107.6106932,-1,4.824772595,-2.380455618,2.698502556,21.0968914,3294,61.60000229,35.20000076,-3.06640625,0.058501367,165.7473536,166,0,0,0,430,-0.066441946,68.708375,-17.5,-8,-10.54089777
51,0.0561,-0.0013,0.052299999,3.720000029,-7.099999905,252.1999969,3.121680636,0.066637404,3.284377965,-9.994061984,0.870214313,-0.213766293,-6.886799225,107.6106922,-1,4.887686678,-2.423609796,2.764884329,21.07740021,3546,61.60000229,35.20000076,-1.6015625,0.05611506,158.2894845,159,0,0,0,410,-0.021218808,66.637404,-20,-7,-9.994061984
52,0.049400002,-0.0047,0.050999999,3.960000038,-6.949999809,252,3.181002159,0.061513335,3.097589442,-9.68409173,0.345258733,-0.250117806,-6.886808048,107.6106911,-1,4.933701394,-2.420445749,2.860891726,21.09700012,3280,61.60000229,35.20000076,-2.7734375,0.049623081,153.4104879,154,0,0,0,392.5,-0.00238449,61.513335,-17.5,-5,-9.68409173
53,0.048,-0.0011,0.050999999,3.789999962,-6.340000153,250.8000031,3.24339201,0.061503783,3.444294214,-9.475923268,359.8952658,0.305605898,-6.886817458,107.6106901,-1,4.969932081,-2.456520368,2.940020389,20.98238182,3286,61.60000229,35.20000076,-2.7734375,0.048012603,150.0082083,151,0,0,0,375,0.027262943,61.503783,-17.5,-3,-9.475923268
54,0.037599999,-0.0033,0.052099999,4.289999962,-6.420000076,249.3999939,3.299645205,0.060158424,3.504039565,-9.331740866,359.2864693,-0.406499053,-6.886826076,107.6106891,-1,5.002807148,-2.505326061,2.992959917,21.08550262,3360,61.5,35.20000076,-1.89453125,0.037744535,148.1263777,149,0,0,0,357.5,0.059188407,60.158424,-17.5,-2,-9.331740866
55,0.031100001,-0.0085,0.047900002,3.950000048,-6.480000019,249.1000061,3.348739643,0.055378966,3.053258037,-9.248711121,358.6580191,-0.405125676,-6.886835263,107.6106882,-1,5.010616476,-2.520908174,3.055658762,21.09300041,3320,61.5,35.20000076,-2.48046875,0.032240659,152.565669,152,0,0,0,342.5,0.089220949,55.378966,-15,3,-9.248711121
56,0.020399999,-0.0035,0.042400002,3.680000067,-6.179999828,248.8999939,3.391695757,0.046696901,3.02596293,-9.167829706,358.1676635,0.072714598,-6.886844593,107.6106873,-1,5.011349411,-2.524419391,3.138493349,21.08101082,3366,61.5,35.20000076,-1.69921875,0.020698066,156.1318059,156,0,0,0,325,0.099102408,46.696901,-17.5,4,-9.167829706
57,0.0099,-0.0048,0.034599997,3.700000048,-5.710000038,252.8999939,3.429538031,0.041615754,3.180158983,-8.956501533,357.8383087,0.258690624,-6.886814305,107.6106901,-1,5.037214516,-2.541662822,3.186321413,21.08906174,3386,61.40000153,35.20000076,-0.52734375,0.011002273,158.7832198,158,0,0,0,310,0.125817895,41.615754,-15,2,-8.956501533
58,0.0012,-0.0019,0.027100001,4.239999771,-5.210000038,247.8000031,3.461245914,0.037529647,3.415029093,-8.505469295,357.6595404,0.005409198,-6.886821681,107.6106895,-1,4.997682818,-2.623597654,3.200176478,21.09300041,3346,61.40000153,35.20000076,-2.48046875,0.002247221,158.3313653,158,0,0,0,292.5,0.120196529,37.529647,-17.5,0,-8.505469295
