Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depthrate_mm,depthrate_mm
2.4,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.613639135,0.067838095,0.048780711,-11.14070207,268.3275612,0.25415847,-6.886523784,107.6102081,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.7838095,1.591399
2.5,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.612617273,0.063552767,0.087862686,-11.02333919,268.2910968,0.275663311,-6.886523665,107.6102093,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.3552767,-4.285328
2.6,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.620799561,0.062620327,0.129001187,-10.90714914,268.2646369,0.333600867,-6.886523605,107.6102098,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.2620327,-0.93244
2.7,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.632050056,0.068209738,0.174044213,-10.79700261,268.2323,0.376305943,-6.886523427,107.6102115,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.8209738,5.589411
2.8,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.630005379,0.064278618,0.210909852,-10.6804555,268.2046374,0.333176914,-6.886523369,107.6102121,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.4278618,-3.93112
2.9,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.642277975,0.066935167,0.246035659,-10.56711765,268.1825237,0.297139055,-6.886523193,107.6102139,-1,0,0,0,20.51632118,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.6935167,2.656549
3,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.639208813,0.061096001,0.280752034,-10.45801922,268.1645375,0.333313801,-6.886523077,107.6102151,-1,0,0,0,20.51632118,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.1096001,-5.839166
3.1,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.644322653,0.060669031,0.315107906,-10.34494276,268.1481367,0.334566922,-6.886523019,107.6102156,-1,0,0,0,20.51632118,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.0669031,-0.42697
3.2,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.650460978,0.06125553,0.343840216,-10.22546743,268.1354262,0.234339033,-6.886522904,107.6102168,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.125553,0.586499
3.3,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.656596918,0.062403124,0.355639934,-10.17095111,268.1347428,0.201866459,-6.88652279,107.610218,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.7000122,0.071805641,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.2403124,1.147594
3.4,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.66375639,0.064040102,0.38013036,-10.05892788,268.1277998,0.204049037,-6.886522677,107.6102192,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.7000122,0.071805641,250.4979704,251,0,0,0,505,0.036277898,-7.5,6.4040102,1.636978
3.5,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.666824837,0.060538605,0.417121914,-9.884574895,268.1246563,0.215409693,-6.886522508,107.610221,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.7000122,0.071805641,250.4979704,251,0,0,0,505,0.036277898,-7.5,6.0538605,-3.501497
3.6,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.673984308,0.06160583,0.436856438,-9.764294905,268.1259684,0.161356281,-6.886522452,107.6102217,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.5,0.071805641,250.4979704,251,0,0,0,505,0.036277898,-7.5,6.160583,1.067225
3.7,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.677052755,0.061701942,0.454721344,-9.650362525,268.1266517,0.115182258,-6.886522285,107.6102235,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.5,0.071805641,250.4979704,251,0,0,0,505,0.036277898,-7.5,6.1701942,0.096112
3.8,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.676030655,0.058240794,0.470749785,-9.530097911,268.1368749,0.133281069,-6.886522174,107.6102247,-1,0,0,0,20.51641083,2906,59.77999878,36.99000168,934.5,0.071805641,250.4979704,251,0,0,0,505,0.036277898,-7.5,5.8240794,-3.461148
3.9,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.684212227,0.06030504,0.48189526,-9.410201459,268.1487381,0.108292908,-6.886522062,107.6102259,-1,0,0,0,20.51641083,2906,59.77999878,37.00999832,934.5,0.071805641,250.4979704,251,0,0,0,495,0.036277898,-10,6.030504,2.064246
4,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.688303251,0.057691827,0.488198505,-9.290966164,268.1668883,0.058008189,-6.886521952,107.6102271,-1,0,0,0,20.51641083,2906,59.77999878,37.00999832,934.5,0.071805641,250.4979704,251,0,0,0,495,0.036277898,-10,5.7691827,-2.613213
4.1,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.689326067,0.058306802,0.48867275,-9.170031851,268.1850931,0.022365399,-6.886521898,107.6102278,-1,0,0,0,20.51641083,2906,59.77999878,37.00999832,934.5,0.071805641,250.4979704,251,0,0,0,495,0.036277898,-10,5.8306802,0.614975
4.2,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.69853117,0.059003983,0.498679621,-9.054096356,268.2043367,0.145511854,-6.886521733,107.6102296,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.5,0.071805641,250.4979704,251,0,0,0,495,0.036277898,-10,5.9003983,0.697181
4.3,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.701600332,0.058080155,0.499828422,-8.939173951,268.225521,-0.00258364,-6.886521624,107.6102308,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.5,0.061998872,250.4979704,251,0,0,0,495,0.036277898,-10,5.8080155,-0.923828
4.4,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.704667826,0.055774678,0.496300975,-8.824507807,268.2470881,0.013841636,-6.886521515,107.6102321,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.5,0.061998872,250.4979704,251,0,0,0,487.5,0.036277898,-7.5,5.5774678,-2.305477
4.5,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.708759089,0.057993289,0.497701661,-8.704834303,268.273712,0.036688995,-6.886521403,107.6102333,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.5,0.061998872,250.4979704,251,0,0,0,487.5,0.036277898,-7.5,5.7993289,2.218611
4.6,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.717963953,0.058576606,0.496613615,-8.593782308,268.302796,0.015039617,-6.88652135,107.610234,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,487.5,0.036277898,-7.5,5.8576606,0.583317
4.7,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.717963953,0.052910313,0.496498404,-8.479416845,268.3342581,-0.002779863,-6.886521242,107.6102352,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,487.5,0.036277898,-7.5,5.2910313,-5.666293
4.8,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.717963953,0.049810298,0.50151201,-8.365596366,268.367907,0.076963189,-6.886521078,107.6102371,-1,0,0,0,20.5283699,2900,59.77999878,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,487.5,0.036277898,-7.5,4.9810298,-3.100015
4.9,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.730237503,0.057922926,0.504003357,-8.25491595,268.4018566,0.064238359,-6.886521022,107.6102377,-1,0,0,0,20.5283699,2900,59.75999832,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.7922926,8.112628
5,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.729214687,0.054951198,0.503849226,-8.148253723,268.4376103,0.041690819,-6.88652086,107.6102397,-1,0,0,0,20.5283699,2900,59.75999832,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.4951198,-2.971728
5.1,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.739442606,0.057545409,0.498725481,-8.036347521,268.4790223,0.006098599,-6.886520748,107.6102409,-1,0,0,0,20.5283699,2900,59.75999832,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.7545409,2.594211
5.2,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.740465183,0.054067012,0.497954826,-7.932316251,268.5217736,-0.041891281,-6.886520639,107.6102422,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.4067012,-3.478397
5.3,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.744556446,0.05240323,0.495311751,-7.819078341,268.5646616,0.024167177,-6.886520529,107.6102435,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.2000122,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.240323,-1.663782
5.4,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.751715202,0.05458568,0.497122669,-7.705010142,268.6116225,0.073307438,-6.886520475,107.6102442,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.2000122,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.458568,2.18245
5.5,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.749670286,0.051295131,0.489214317,-7.592681107,268.6540731,-0.075908397,-6.886520309,107.6102461,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.2000122,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.1295131,-3.290549
5.6,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.761942883,0.054529455,0.483439292,-7.479790005,268.6899088,-0.014539719,-6.886520198,107.6102474,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.4529455,3.234324
5.7,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.757853527,0.050235569,0.478917122,-7.425715304,268.7138539,-0.047023057,-6.886520141,107.6102481,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.0235569,-4.293886
5.8,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.760921021,0.050118044,0.467501877,-7.264642674,268.7686872,-0.001345893,-6.886519973,107.61025,-1,0,0,0,20.65390015,1254,59.75999832,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,477.5,0.036277898,-10,5.0118044,-0.117525
