Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,Unnamed: 33,be_rate,depth_rate,mm_rate,pitch
29,1.70E+18,0.02,-0.0131,-0.0052,1.419999957,11.18999958,221.8999939,4.126055975,-0.002216175,0.076359051,8.579553787,269.1453035,0.043717194,-6.886507897,107.6106526,-1,0,0,0,20.5281105,2774,59.59000015,36.99000168,929.5999756,0.023908366,250.4979704,251,0,0,0,242.5,0.036277898,101281280,-10,-2.216175,0,8.579553787
30,1.70E+18,0.023600001,-0.012800001,-0.011,1.330000043,11.93000031,221.5,4.112758894,-0.003664309,0.124349111,9.164860484,269.1954625,0.019132547,-6.886508835,107.6106723,-1,0,0,0,20.52820969,2834,59.58000183,37.04000092,929.2999878,0.02684772,250.4979704,251,0,0,0,232.5,0.036277898,100093696,-10,-3.664309,0,9.164860484
31,1.70E+18,0.018999999,-0.0121,-0.0145,1.340000033,12.30000019,221.5,4.094347973,-0.010728578,0.115351458,9.835057388,269.2814845,-0.039160956,-6.88650994,107.610692,-1,0,0,0,20.52416039,2800,59.58000183,36.99000168,929.0999756,0.022525762,250.4979704,251,0,0,0,217.5,0.036277898,96324352,-15,-10.728578,0,9.835057388
32,1.70E+18,0.039000001,-0.011899999,-0.0252,1.460000038,13.14999962,221.3000031,4.075938721,-0.013619057,0.202321044,10.62790641,269.4063217,0.094474613,-6.886511214,107.6107117,-1,0,0,0,20.53229141,2780,59.61999893,36.99000168,928.9000244,0.040775116,250.4979704,251,0,0,0,202.5,0.036277898,101642496,-15,-13.619057,0,10.62790641
33,1.70E+18,0.02,-0.0093,-0.0266,1.330000043,14.07999992,220.8999939,4.047300596,-0.016280763,0.218551545,11.53886745,269.6234132,-0.138727571,-6.886512567,107.6107303,-1,0,0,0,20.5282402,2894,59.56000137,37.02000046,928.4000244,0.022056518,250.4979704,251,0,0,0,187.5,0.036277898,98868992,-15,-16.280763,0,11.53886745
34,1.70E+18,0.02,-0.0093,-0.0266,1.330000043,14.07999992,220.8999939,4.007411261,-0.026076538,0.144496123,12.55713223,269.8636025,-0.056760006,-6.886514121,107.6107499,-1,0,0,0,20.53220177,2806,59.56999969,36.97999954,928.4000244,0.022056518,250.4979704,251,0,0,0,172.5,0.036277898,99909632,-15,-26.076538,0,12.55713223
35,1.70E+18,0.0264,-0.0085,-0.039500002,1.24000001,15.94999981,220.5,3.966499825,-0.027664168,0.238548938,13.64908344,270.1701055,0.003480174,-6.886515907,107.6107702,-1,0,0,0,20.5322113,2794,59.54999924,36.97000122,927.9000244,0.027734635,250.4979704,251,0,0,0,157.5,0.036277898,99954688,-15,-27.664168,0,13.64908344
36,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.918429871,-0.036962628,0.301415213,14.76408456,270.5556876,-0.057938604,-6.88651776,107.6107895,-1,0,0,0,20.5322113,2820,59.54000092,36.99000168,927.9000244,0.02794584,250.4979704,251,0,0,0,142.5,0.036277898,99952128,-15,-36.962628,0,14.76408456
37,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.860131998,-0.041752059,0.281670626,15.87085625,271.0115469,-0.180508769,-6.88651976,107.6108087,-1,0,0,0,20.52824974,2820,59.56999969,36.97999954,927.5,0.02794584,250.4979704,251,0,0,0,127.5,0.036277898,,-15,-41.752059,0,15.87085625
38,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.796718378,-0.051617354,0.232264672,16.90604884,271.3473253,-0.098109449,-6.886521766,107.6108268,-1,0,0,0,20.52440071,2940,59.58000183,37.00999832,927.4000244,0.02794584,250.4979704,251,0,0,0,112.5,0.036277898,,-15,-51.617354,0,16.90604884
39,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.734328527,-0.053907834,0.338389951,18.02685857,271.4858571,0.156862446,-6.886524095,107.6108466,-1,0,0,0,20.52031136,2900,59.54000092,36.95000076,927,0.02794584,250.4979704,251,0,0,0,97.5,0.036277898,,-15,-53.907834,0,18.02685857
40,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.662733574,-0.06058374,0.409182117,19.09204406,271.4351788,0.137145954,-6.886526417,107.6108653,-1,0,0,0,20.52831078,2874,59.58000183,36.97999954,926.5,0.02794584,250.4979704,251,0,0,0,82.5,0.036277898,,-15,-60.58374,0,19.09204406
41,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.579888124,-0.06791281,0.386997087,20.0826744,271.2392443,0.065968741,-6.886528826,107.6108838,-1,0,0,0,20.52836037,2860,59.54000092,36.97000122,926.5,0.02794584,250.4979704,251,0,0,0,67.5,0.036277898,,-15,-67.91281,0,20.0826744
42,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.501132865,-0.073043197,0.34449905,20.95601361,271.0334419,0.040310067,-6.886531315,107.6109019,-1,0,0,0,20.52039146,2880,59.54000092,36.97999954,926.4000244,0.02794584,250.4979704,251,0,0,0,55,0.036277898,,-12.5,-73.043197,0,20.95601361
43,1.70E+18,0.027899999,-0.0016,-0.048099998,1.470000029,16.79999924,220.6000061,3.409082313,-0.082890131,0.237141071,21.62075214,270.835102,-0.10269768,-6.886533775,107.6109188,-1,0,0,0,20.64591026,1254,59.54000092,36.97000122,926.0999756,0.02794584,250.4979704,251,0,0,0,55,0.036277898,,0,-82.890131,0,21.62075214
44,1.70E+18,0.095300004,0.072300002,-0.085199997,1.059999943,25.70000076,276.8999939,3.324191947,-0.083702378,0.099472029,22.11687197,270.4822395,0.095518507,-6.886536589,107.610937,-1,0,0,0,20.6418705,1260,59.54000092,36.95000076,926.2000122,0.119621825,250.4979704,251,0,0,0,55,0.036277898,,0,-83.702378,0,22.11687197
45,1.70E+18,0.041499998,-0.016000001,-0.098900005,1.149999976,26.09000015,276.1000061,3.233164091,-0.084901467,0.233568699,22.40640874,269.9629091,0.450578228,-6.886539224,107.6109531,-1,0,0,0,20.63786125,1240,59.59999847,36.95000076,926.5,0.044477521,250.4979704,251,0,0,0,55,0.036277898,,0,-84.901467,0,22.40640874
46,1.70E+18,0.1523,0.0153,-0.0495,1.289999962,26.23999977,275.2000122,3.142136354,-0.089324638,0.367082273,22.52408255,269.3592242,0.265248396,-6.886542264,107.6109705,-1,0,0,0,20.64185143,1254,59.56999969,36.95000076,926.4000244,0.153066587,250.4979704,251,0,0,0,55,0.036277898,,0,-89.324638,0,22.52408255
47,1.70E+18,0.0145,-0.012,-0.073600002,1.25,26.15999985,274.5,3.044971843,-0.093730949,0.399090652,22.48297812,268.7838032,0.189922501,-6.886493097,107.6107461,-1,0,0,0,20.63790131,1260,59.56999969,36.97000122,926.0999756,0.01882153,250.4979704,251,0,0,0,55,0.036277898,,0,-93.730949,0,22.48297812
48,1.70E+18,0.130100012,0.0019,-0.0561,1.129999995,26.12999916,274.2999878,2.948829193,-0.097153142,0.249982201,22.39075967,268.4178474,0.009491785,-6.886473777,107.6106669,-1,0,0,0,20.63396263,1314,59.63000107,36.95000076,926.4000244,0.130113885,250.4979704,251,0,0,0,55,0.036277898,,0,-97.153142,0,22.39075967
49,1.70E+18,0.134100005,0.048799999,-0.061799999,1.039999962,25.88999939,274.2999878,2.853711028,-0.096722677,0.152675379,22.21191954,268.2526096,0.01352353,-6.88646338,107.6106301,-1,0,0,0,20.62994003,1354,59.63000107,36.91999817,926.4000244,0.142703368,250.4979704,251,0,0,0,55,0.036277898,,0,-96.722677,0,22.21191954
50,1.70E+18,0.118099995,-0.038400002,-0.0583,1.090000033,25.69000053,274.3999939,2.753478189,-0.099286541,0.238322119,21.98318349,268.2564092,0.082270195,-6.886464436,107.6106336,-1,0,0,0,20.64195061,1334,59.63000107,36.91999817,926.2000122,0.124186026,250.4979704,251,0,0,0,55,0.036277898,,0,-99.286541,0,21.98318349
51,1.70E+18,0.1184,-0.064099997,-0.064199999,1,25.40999985,274.8999939,2.657335658,-0.101429418,0.110672894,21.74824932,268.337675,-0.357014005,-6.886457521,107.6106179,-1,0,0,0,20.64990044,1260,59.59999847,36.93999863,926.4000244,0.134637921,250.4979704,251,0,0,0,55,0.036277898,,0,-101.429418,0,21.74824932
