Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depth_rate,mm_rate,pitch
26,-0.0208,0.028700002,0.082900003,3.769999981,-5.96999979,14.89999962,0.87973686,0.080071695,3.045473438,-9.056701687,1.236401724,0.233846743,-6.886608663,107.6107471,-1,-0.674168247,6.18018906,0.517917555,21.1009903,3306,61.70000076,35.29999924,-2.3828125,0.035444747,205.4197724,206,0,0,0,572.5,-0.122378774,10,80.071695,-4,-9.056701687
27,0.0087,0.034400001,0.073899999,3.910000086,-5.909999847,15.10000038,0.957468469,0.075849921,3.184632891,-9.032401215,2.717739742,0.468140076,-6.886604477,107.6107476,-1,-0.721266152,6.265101515,0.600539415,21.09305191,3586,61.70000076,35.29999924,-2.48046875,0.035483096,202.9520729,203,0,0,0,580,-0.182280764,7.5,75.849921,-3,-9.032401215
28,-0.061700001,0.0274,0.094999999,4.170000076,-5.909999847,15.60000038,1.03724568,0.080566682,3.567891089,-9.22864666,3.755419782,0.448039045,-6.886600251,107.6107482,-1,-0.792929114,6.284474293,0.706265583,21.21471214,1846,61.70000076,35.29999924,-1.89453125,0.067510371,201.6607267,202,0,0,0,590,-0.215679288,10,80.566682,-1,-9.22864666
29,-0.0132,0.0139,0.089699998,4.239999771,-6.179999828,15.89999962,1.124182363,0.080964938,3.647604376,-9.653390688,4.042715119,-0.060002248,-6.886596264,107.6107487,-1,-0.848100421,6.289490188,0.767874804,21.07344055,3520,61.70000076,35.29999924,-2.3828125,0.019168985,202.799648,202,0,0,0,602.5,-0.202125505,12.5,80.964938,0,-9.653390688
30,0.043200001,0.0005,0.092500001,4.510000229,-6.730000019,7.199999809,1.210096289,0.082231365,3.406968798,-10.24420189,3.713379573,-0.307747955,-6.886592534,107.6107492,-1,-0.89094069,6.248474366,0.842964689,21.03382111,3920,61.70000076,35.29999924,-1.796875,0.043202895,204.4572284,204,0,0,0,605,-0.165739134,2.5,82.231365,2,-10.24420189
31,0.060599998,0.0153,0.108900003,4.269999981,-7.480000019,16,1.311351944,0.088275746,3.156122674,-10.92096508,2.997533863,-0.380569689,-6.88658904,107.6107497,-1,-0.891434124,6.259433711,0.928459636,21.21079063,1854,61.70000076,35.29999924,-1.69921875,0.062501598,208.8045014,208,0,0,0,615,-0.116731852,10,88.275746,4,-10.92096508
32,0.077100001,-0.0121,0.093699999,3.579999924,-8.010000229,15.80000019,1.41056205,0.094254225,2.981130746,-11.65447237,2.096042559,-0.300124881,-6.886585606,107.61075,-1,-0.824960194,6.309181569,1.031232964,21.23443985,1614,61.70000076,35.29999924,-2.3828125,0.078043707,213.2697783,213,0,0,0,622.5,-0.07049948,7.5,94.254225,5,-11.65447237
33,0.068499997,-0.034299999,0.0977,4.070000172,-8.640000343,15.30000019,1.516931646,0.095305517,2.986197473,-12.362778,1.003590893,-0.192925344,-6.88658253,107.6107502,-1,-0.7540566,6.322173302,1.087994092,21.23442078,1754,61.70000076,35.29999924,-2.7734375,0.076607699,219.2373208,219,0,0,0,627.5,-0.020668486,5,95.305517,6,-12.362778
34,0.028000001,0.011899999,0.081800006,3.950000048,-9.43999958,3.599999905,1.616141748,0.097237542,3.063208263,-12.94547936,359.9031382,-0.222799048,-6.886579766,107.6107503,-1,-0.639583489,6.346274424,1.1894397,21.23044014,1606,61.70000076,35.29999924,-2.3828125,0.03042384,223.6193035,223,0,0,0,627.5,0.05876882,0,97.237542,4,-12.94547936
35,0.0383,-0.0206,0.095300004,4,-9.909999847,2.200000048,1.719442998,0.097096413,3.091388329,-13.34838133,358.5818102,-0.303180538,-6.886576883,107.6107501,-1,-0.520497453,6.327005543,1.266174774,21.22265053,1754,61.70000076,35.29999924,-1.796875,0.043488505,226.0779311,226,0,0,0,627.5,0.114610702,0,97.096413,3,-13.34838133
36,0.0131,-0.0187,0.0911,3.950000048,-10.25,0.899999976,1.820698668,0.097724035,2.934449845,-13.51984965,357.6723876,-0.407749292,-6.886584007,107.6107513,-1,-0.46608526,6.378073223,1.305651858,21.20264053,1814,61.70000076,35.29999924,-2.28515625,0.022831995,227.5444017,227,0,0,0,627.5,0.144076049,0,97.724035,1,-13.51984965
37,0.138699993,0.016100001,0.065400004,3.769999981,-10.35999966,0.899999976,1.920930762,0.099935293,2.685031741,-13.49576444,357.3656933,-0.083808481,-6.88658196,107.6107508,-1,-0.442086815,6.390554876,1.429627054,21.22253037,1674,61.70000076,35.29999924,-2.08984375,0.139631294,226.7241899,227,0,0,0,627.5,0.13465108,0,99.935293,0,-13.49576444
38,0.071699999,-0.067099996,0.082000002,3.579999924,-10.35000038,0,2.021164436,0.101388924,2.857365806,-13.20589965,357.5761971,0.261681869,-6.886586568,107.6107524,-1,-0.411729774,6.419172743,1.52895259,21.23054123,1700,61.70000076,35.29999924,-2.578125,0.098200302,223.8540976,224,0,0,0,627.5,0.09868829,0,101.388924,-3,-13.20589965
39,0.045900002,-0.017999999,0.073800005,3.859999895,-9.949999809,258.6000061,2.118328948,0.101730041,3.077614886,-12.75790582,358.1975129,0.220465035,-6.88658527,107.6107517,-1,-0.35367404,6.502549774,1.62243056,21.09696007,3254,61.70000076,35.29999924,-2.3828125,0.049303247,218.9055439,219,0,0,0,615,0.05897383,-12.5,101.730041,-5,-12.75790582
40,0.0845,0.0015,0.0678,3.880000114,-9.529999733,359.3999939,2.209356804,0.09708488,3.059404481,-12.27583769,359.224611,0.043512965,-6.886584183,107.6107508,-1,-0.285819365,6.472808767,1.732540405,21.08930206,3466,61.70000076,35.29999924,-2.7734375,0.084513312,212.4532045,213,0,0,0,610,0.016527273,-5,97.08488,-6,-12.27583769
41,0.0517,0.006,0.090900004,3.900000095,-9.180000305,270.7000122,2.307544131,0.098589838,2.894985923,-11.82111187,0.534588068,0.194961506,-6.886583335,107.6107498,-1,-0.249839691,6.469531269,1.859701757,21.22649002,1700,61.70000076,35.29999924,-2.7734375,0.052046998,206.7024824,207,0,0,0,602.5,-0.092457086,-7.5,98.589838,-6,-11.82111187
42,0.081800006,0.024600001,0.074099995,3.720000029,-8.600000381,269.1000061,2.394480784,0.093898304,2.77069714,-11.4421405,2.293095016,0.38913781,-6.886582761,107.6107489,-1,-0.116470968,6.449362072,1.968992164,21.0890007,3374,61.70000076,35.29999924,-2.1875,0.085418974,200.8602026,201,0,0,0,590,-0.214723185,-12.5,93.898304,-6,-11.4421405
43,0.085300006,0.025,0.0779,3.5,-8.56000042,254.3999939,2.488576193,0.093453057,3.054304867,-11.1882455,3.494344106,0.563687046,-6.88658251,107.610748,-1,-0.007048618,6.462256114,2.04420492,21.09717178,3394,61.70000076,35.29999924,-1.796875,0.088888082,196.5994812,197,0,0,0,572.5,-0.211117521,-17.5,93.453057,-4,-11.1882455
44,0.085300006,0.025,0.0779,3.5,-8.56000042,254.3999939,2.568354149,0.087170906,3.264778833,-11.02127885,3.931091232,0.016199521,-6.886582595,107.6107473,-1,0.128650495,6.446414248,2.122942683,21.09312058,3394,61.70000076,35.20000076,-2.1875,0.088888082,193.5403592,194,0,0,0,552.5,-0.202148244,-20,87.170906,-3,-11.02127885
45,0.072900005,0.0121,0.086000003,4.050000191,-7.760000229,249.5,2.674723763,0.088952474,3.390310914,-10.83493622,3.723209356,0.228460837,-6.886583009,107.6107466,-1,0.241722062,6.347744119,2.239428207,21.0851326,3406,61.70000076,35.20000076,-2.1875,0.073897366,189.8762767,190,0,0,0,537.5,-0.165975228,-15,88.952474,-4,-10.83493622
46,0.074199997,-0.024,0.072699994,4.289999962,-7.690000057,247.6000061,2.75450017,0.092085138,3.723278547,-10.43407154,3.043440426,0.083643619,-6.886583645,107.610746,-1,0.458413091,6.243332651,2.34764539,21.10502052,3366,61.70000076,35.20000076,-2.08984375,0.077984867,185.1324582,186,0,0,0,517.5,-0.13727589,-20,92.085138,-4,-10.43407154
47,0.074199997,-0.0308,0.067699999,4.400000095,-7.829999924,245.6000061,2.818936367,0.080047406,3.713572196,-9.84537535,2.18486895,-0.288679365,-6.886584567,107.6107454,-1,0.502248387,6.218380492,2.446060204,21.10889053,3266,61.60000229,35.20000076,-2.7734375,0.080338531,178.9966182,179,0,0,0,500,-0.058228087,-17.5,80.047406,-7,-9.84537535
48,0.078099996,-0.031500001,0.064900003,4.269999981,-6.21999979,253.1999969,2.897689958,0.08062385,3.613476683,-9.184449152,1.281220988,-0.139060899,-6.886585587,107.6107448,-1,0.483461406,6.135106846,2.514845991,21.10891914,3300,61.60000229,35.20000076,-0.234375,0.084213178,170.4759798,171,0,0,0,482.5,-0.025963303,-17.5,80.62385,-8,-9.184449152
